word,english,word_type
Produkt,product,noun
testen,test,verb
nachweisen,prove,verb
freiwillig,voluntary,adjective
Formel,formula,noun
fremd,strange,adjective
allergisch,allergic,adjective
sprachlos,speechless,adjective
spontan,spontaneous,adjective
treu,faithful,adjective
Kontrolle,control,noun
herstellen,produce,verb
gelingen,succeed,verb
widmen,dedicate,verb
mutlos,disheartened,adjective
kündigen,give notice,verb
verweigern,refuse,verb
feige,fig,adjective
optimal,optimal,adjective
Nahrung,food,noun
Temperatur,temperature,noun
heiraten,marry,verb
besorgt,worried,adjective
verwesen,decompose,verb
Spende,donation,noun
weiblich,female,adjective
Mode,fashion,noun
Markt,market,noun
studieren,study,verb
Scherz,joke,noun
vorstellen,imagine,verb
anbieten,offer,verb
wirken,have an effect,verb
Vorwand,pretext,noun
Programm,programme,noun
spurlos,without trace,adjective
fit,fit,adjective
Elch,elk,noun
Alternative,alternative,noun
höchstpersönlich,personally,adjective
Drama,tragedy,noun
Komma,comma,noun
auspressen,squeeze,verb
saftig,juicy,adjective
Vitamin,vitamin,noun
Betrieb,business,noun
Bedingung,prerequisite,noun
Job,job,noun
Kapitän,captain,noun
mager,skinny,adjective
Anzahl,quantity,noun
Chef,boss,noun
tippen,type,verb
zahm,tame,adjective
Kunde,customer,noun
rosten,rust,verb
hygienisch,hygienic,adjective
exakt,exact,adjective
Portion,portion,noun
redselig,talkative,adjective
Tonne,ton,noun
Versager,failure,noun
Panik,panic,noun
stehlen,steal,verb
Zange,pliers,noun
Ozean,ocean,noun
Paris,paris,noun
speziell,special,adjective
Virus,virus,noun
Frisur,hairstyle,noun
unfair,unfair,adjective
Tafel,blackboard,noun
System,system,noun
Million,million,noun
verlegen,mislay,adjective
rudern,rowing,verb
Tourist,tourist,noun
geheimnisvoll,mysterious,adjective
stürzen,fall down,verb
nutzen,use,verb
einsam,lonely,adjective
Ausnahme,exception,noun
minimal,minimal,adjective
Magnet,magnet,noun
Filmstar,film star,noun
Glastür,glass door,noun
Firma,company,noun
Verkehr,traffic,noun
Kummer,worries,noun
